Brand,Model,Color,Retail Price($),Number of Sales,Average Sale Price($),Price Premium(%)
Adidas,ZX 500 Dragon Ball Z Son Goku,Orange/Collegiate Royal/Hi-Res Red ,170,1610,317,88
Adidas,Yung-1 Dragon Ball Z Frieza,Cloud White/Unity Purple/Clear Lilac ,150,972,230,22
Adidas,Ultra Boost 4.0 Breast Cancer Awareness,Cloud White/Core Black/Shock Pink ,180,1393,163,-22
Adidas,NMD R1 Core Black Lush Red,Core Black/Core Black/Lush Red ,150,618,113,-27
Adidas,NMD R1 Duck Camo Core Black,Core Black/Grey Four/Grey Five ,130,367,96,-54
Adidas,NMD R1 STLT Triple Black,Core Black/Utility Black/Solar Pink ,170,2003,106,-47
Adidas,Ultra Boost 4.0 White Multi-Color,Cloud White/Cloud White/Collegiate Navy ,180,118,138,-34
Adidas,NMD Hu Pharrell Solar Pack Orange,White/Black/Orange ,250,1287,273,-8
Adidas,Ultra Boost 4 Show Your Stripes Black,Core Black/Cloud White/Carbon ,180,714,133,-39
Adidas,Ultra Boost 4.0 Black Multi-Color,Core Black/Carbon/Ash Silver ,180,371,121,-39
Adidas,NMD Hu Pharrell Solar Pack Mother,White/Pink/Yellow ,250,1618,283,-16
Adidas,Ultra Boost 4.0 Show Your Stripes Cloud White,Cloud White/Tech Ink/Ash Pearl ,180,392,140,-25
Adidas,Ultra Boost 4.0 Grey Two,Grey Two/Grey Two/Core Black ,180,1138,146,-36
Adidas,Ultra Boost 4.0 Parley Legend Ink,Legend Ink/Carbon/Blue Spirit ,180,805,145,-28
Adidas,NMD TS1 Gore-Tex Triple Black,Core Black/Core Black/Core Black ,230,290,193,-27
Adidas,Ultra Boost Clima Core Black Solar Red,Core Black/Core Black/Solar Red ,220,1402,152,-29
Adidas,NMD R1 STLT Stealth Pack Core Black,Core Black/Grey Two/Grey Five ,140,44,63,-57
Adidas,NMD R1 Duck Camo Sesame,Sesame/Trace Cargo/Base Green ,130,412,90,-42
Adidas,Ultra Boost A Kind Of Guise,Core White/Punjab ,#NUM!,589,242,#VALUE!
