Brand,Model,Color,Model Color,Retail_Price ($),Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price ($)
Nike,Nike SB Gato Supreme White,White,White/White-Gym Red ,110,8/30/18,1230,0.32,154
Nike,Nike React Element 87 Desert Sand,Tan,Desert Sand/Cool Grey-Smokey Mauve ,160,8/14/18,1892,0.19,212
Nike,Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box),Tan,Wheat/Sport Red-Bison-Classic Green ,160,3/17/18,5417,0.56,287
Nike,Nike Zoom Fly Mercurial Off-White Black,Black,Black/Volt-White ,200,6/14/18,2132,0.67,358
Nike,Nike Zoom Fly SP Breaking 2 (2018),White,White/Sail-Bright Crimson ,150,5/7/18,364,-0.54,113
Nike,Nike React Element 55 Black White,Black,Black/White ,130,9/29/18,215,-0.04,142
Nike,Air Foamposite Pro Sequoia,Black,Sequoia/Black-Team Orange ,230,8/16/18,431,-0.33,175
Nike,Jordan 1 Mid South Beach,Green,Turbo Green/Black-Hyper Pink-Orange Peel ,115,10/1/18,1910,0.23,167
Nike,Jordan 1 Retro High Pine Green,Green,Pine Green/Sail-Black ,160,9/22/18,12502,0.29,265
Nike,Jordan 1 Retro High Court Purple,Purple,Court Purple/Black-Sail ,160,9/22/18,7492,0.99,332
Nike,Jordan 5 Retro Wings,Multicolor,Multi-Color/Multi-Color ,200,9/29/18,2255,0.68,289
Nike,Jordan 6 Retro Tinker,White,White/Infrared 23-Neutral Grey-Obsidian ,190,10/6/18,316,0.03,193
Nike,Jordan 1 Mid South Beach (GS),Green,Turbo Green/Black-Hyper Pink-Orange Peel ,90,10/1/18,345,0.76,138
Nike,Jordan 1 Retro High Court Purple (GS),Purple,Court Purple/Black-Sail ,120,9/22/18,4018,1.92,321
Nike,Jordan 1 Retro High Shadow (2018),Black,Black/Medium Grey-White ,160,4/14/18,22008,0.09,208
Nike,Jordan 5 Retro Grape Fresh Prince,White,White/New Emerald-Grape Ice-Black ,190,9/25/18,1571,0.13,254
Nike,Jordan 1 Mid Gym Red Black,Red,Gym Red/Black-White ,110,6/1/18,1507,-0.20,125
Nike,Jordan 1 Retro High Game Royal,Blue,Game Royal/Black-Summit White ,160,3/24/18,16967,0.59,208
Nike,Jordan 1 Retro High Homage To Home (Non-numbered),Black,Black/University Red-White ,160,5/19/18,22759,1.18,267
Nike,Jordan 4 Retro Travis Scott Cactus Jack,Blue,University Blue/Black-Varsity Red ,225,6/9/18,14849,2.33,382
Nike,Jordan 1 Retro High Bred Toe,Red,Gym Red/Black-Summit White ,160,2/24/18,15956,1.78,303
Nike,Jordan 6 Retro Tinker (GS),White,White/Infrared 23-Neutral Grey-Obsidian ,140,10/6/18,87,-0.11,121
